valid_time,ssr,ssrd,fdir,d2m,t2m,u10,v10,tcc
2021-01-01 00:00:00+00:00,9.999996586968585e-16,0.0,0.0,1.7261639893466736,4.112051696744118,0.0042838406950897155,-5.771158712216374,0.6072565066439195
2021-01-01 01:00:00+00:00,9.999996586968585e-16,0.0,0.0,1.7172941667632813,4.08976337285111,0.14484825097942872,-5.846746882042809,0.5988569174862822
2021-01-01 02:00:00+00:00,9.999996586968585e-16,0.0,0.0,1.6815649396352796,4.067574754131158,0.2387924250071987,-5.97160388269638,0.5579748495751843
2021-01-01 03:00:00+00:00,9.999996586968585e-16,0.0,0.0,1.6843651452545032,4.055255280625147,0.26627682919168427,-6.0657454166677365,0.576804689477817
2021-01-01 04:00:00+00:00,9.999996586968585e-16,0.0,0.0,1.67845499915029,4.04953506347448,0.29813492987106144,-6.160609367790682,0.5761241091156635
2021-01-01 05:00:00+00:00,9.999996586968585e-16,0.0,0.0,1.6620847579905558,4.026252805204479,0.3560221807125372,-6.205674534737754,0.6015105693762411
2021-01-01 06:00:00+00:00,9.999996586968585e-16,0.0,0.0,1.6775668984899994,4.060459231439211,0.39263276268896774,-6.240890407272895,0.5826128279701169
2021-01-01 07:00:00+00:00,9.999996586968585e-16,0.0,0.0,1.7099435599311619,4.092067688877933,0.42269900974573565,-6.227193109181913,0.5636420698140312
2021-01-01 08:00:00+00:00,0.0005181092164784732,0.000604216655808853,2.4747352109103463e-05,1.7088431386714547,4.109070057067299,0.44301768607480946,-6.156034485025028,0.5567730596650803
2021-01-01 09:00:00+00:00,4.892659937017383,5.581507753535849,1.6611509921817158,1.7157316067600163,4.112508399510602,0.5207303170912059,-6.0510515557872155,0.5455895160483613
2021-01-01 10:00:00+00:00,40.58295794125921,46.93438796272246,19.151107963386913,1.8694225481995659,4.3610591630528575,0.5756564808528145,-6.004883950192379,0.5614152677627513
2021-01-01 11:00:00+00:00,88.59680512654171,102.25609343726381,50.4463943820412,2.0032315946085646,4.63821488552486,0.7290660918274573,-6.0014457592493615,0.5736178865412301
2021-01-01 12:00:00+00:00,120.70161507685854,138.6343696227479,73.91565713670677,2.0847479565316007,4.902228139093836,0.8247872043539854,-6.036187443364559,0.5602188678528008
2021-01-01 13:00:00+00:00,127.45073833565884,146.31582641354024,81.17986064679154,2.119843865746759,5.063636259322493,0.9538103764057548,-6.089874186169067,0.5822610631523003
2021-01-01 14:00:00+00:00,107.36922904633016,123.63285718400401,66.394932955306,2.119269672284588,5.155893206088706,1.0148262147804332,-6.082244742225114,0.6108303306920532
2021-01-01 15:00:00+00:00,64.62998207359307,74.71543587340513,35.69446686783207,2.099655383223478,5.1460760328279775,1.0673862743961222,-5.945398566575461,0.6019286927352521
2021-01-01 16:00:00+00:00,18.8305911199317,21.668702186816084,8.357182534369779,1.96900450643966,4.945706321026989,1.137775216063663,-5.876893550689214,0.5430159463696529
